id,Date
C1,2012
C10,2010
C100,2016
C101,2015
C102,2016
C103,2015
C104,2015
C105,2016
C107,2015
C11,2009
C111,2015
C118,2015
C119,2015
C12,2009
C121,2015
C128,2009
C129,2009
C13,2011
C130,2009
C131,2009
C132,2009
C133,2009
C137,2016
C138,2016
C139,2016
C14,2012
C140,2016
C141,2016
C142,2016
C143,2017
C146,2015
C151,2015
C154,2016
C162,2015
C173,2015
C176,1921
C188,2014
C2,2012
C201,2015
C202,2014
C203,2016
C204,2016
C205,2016
C206,2016
C207,2016
C208,2017
C212,2015
C215,1998
C216,2000
C217,2001
C218,2002
C219,2003
C220,2004
C221,2005
C223,2007
C224,2007
C225,2007
C226,2008
C227,2008
C228,2008
C229,2009
C230,2009
C231,2010
C232,2010
C233,2011
C234,2012
C235,2012
C236,2013
C237,2014
C238,2016
C239,2016
C240,2016
C241,2016
C242,2016
C243,2016
C244,2016
C245,2017
C246,2017
C247,2017
C248,2017
C249,2017
C306,2016
C307,2017
C310,2016
C311,2017
C312,2015
C313,2017
C314,2017
C315,2017
C316,2017
C317,2016
C319,2017
C32,1989
C320,2016
C321,2017
C322,2018
C323,2017
C325,2017
C327,2018
C329,2017
C330,2017
C331,2017
C332,2017
C334,2017
C335,2016
C337,2016
C338,2017
C34,2013
C340,2016
C343,2017
C346,2017
C349,2017
C350,2015
C351,2016
C352,2016
C355,2016
C360,2017
C361,2016
C363,2017
C364,2016
C366,2016
C367,2017
C368,2017
C370,2017
C371,2017
C375,2016
C376,2018
C377,2018
C378,2016
C380,2018
C381,2017
C385,2017
C386,2017
C389,2017
C390,2016
C392,2017
C395,2017
C396,2017
C397,2018
C399,2016
C4,2012
C40,2014
C411,2009
C412,2009
C413,2009
C414,2009
C415,2009
C417,2009
C418,2011
C42,2013
C420,2016
C428,2021
C43,2011
C430,2021
C431,2021
C432,2021
C434,2021
C436,2021
C437,2021
C44,2011
C440,2021
C441,2021
C442,2021
C443,2021
C45,2011
C46,2011
C47,2011
C48,2011
C49,2011
C5,2012
C50,2011
C51,2012
C52,2012
C53,2013
C54,2012
C55,2012
C56,2012
C57,2013
C58,2010
C59,2010
C6,2012
C60,2012
C61,2013
C611,2021
C62,2013
C63,2013
C64,2013
C65,2013
C66,2013
C67,2010
C68,2010
C7,2003
C72,2011
C73,2011
C74,2011
C75,2011
C77,2015
