Site,Ind,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5
UK,UK242,0.094586,0.90538,0.000014,0.00001,0.00001
UK,UK243,0.102091,0.00001,0.577133,0.00001,0.320756
UK,UK244,0.103341,0.876097,0.00001,0.00001,0.020541
UK,UK245,0.104614,0.00001,0.00001,0.895356,0.00001
UK,UK246,0.110686,0.889284,0.00001,0.00001,0.00001
UK,UK247,0.110868,0.220614,0.00001,0.668498,0.00001
UK,UK248,0.111194,0.009031,0.00001,0.635576,0.244189
UK,UK249,0.114363,0.00001,0.00001,0.840591,0.045026
UK,UK250,0.11529,0.170353,0.00001,0.708814,0.005533
UK,UK251,0.11534,0.88463,0.00001,0.00001,0.00001
UK,UK252,0.116001,0.023643,0.062126,0.798219,0.00001
UK,UK253,0.119397,0.880573,0.00001,0.00001,0.00001
UK,UK254,0.121768,0.025043,0.505168,0.34801,0.00001
UK,UK255,0.123928,0.876042,0.00001,0.00001,0.00001
UK,UK256,0.125939,0.810535,0.00001,0.00001,0.063506
UK,UK257,0.127758,0.630213,0.00001,0.00001,0.242009
UK,UK258,0.129136,0.839317,0.00001,0.031527,0.00001
UK,UK259,0.129402,0.00001,0.463839,0.406739,0.00001
UK,UK260,0.13061,0.86936,0.00001,0.00001,0.00001
UK,UK261,0.131085,0.00001,0.466126,0.402769,0.00001
UK,UK262,0.133728,0.041152,0.102364,0.722746,0.00001
UK,UK263,0.134542,0.587479,0.00001,0.00001,0.277959
UK,UK264,0.146315,0.00001,0.418239,0.435426,0.00001
UK,UK265,0.14885,0.00001,0.00001,0.85112,0.00001
UK,UK266,0.156429,0.00001,0.00001,0.843541,0.00001
UK,UK267,0.156971,0.253063,0.00001,0.00001,0.589946
UK,UK268,0.158028,0.00001,0.00001,0.841942,0.00001
UK,UK269,0.163525,0.020931,0.00001,0.815524,0.00001
UK,UK270,0.168248,0.003042,0.00001,0.82869,0.00001
UK,UK271,0.171536,0.828277,0.00001,0.00001,0.000167
UK,UK272,0.17294,0.00001,0.536835,0.290206,0.00001
UK,UK273,0.173643,0.826327,0.00001,0.00001,0.00001
UK,UK274,0.176312,0.248616,0.229191,0.345872,0.00001
UK,UK275,0.176319,0.246578,0.227727,0.349366,0.00001
UK,UK276,0.179736,0.469515,0.00001,0.00001,0.350729
UK,UK277,0.18964,0.66475,0.00001,0.14559,0.00001
UK,UK278,0.192202,0.807768,0.00001,0.00001,0.00001
UK,UK279,0.195045,0.00001,0.804925,0.00001,0.00001
UK,UK280,0.196714,0.019486,0.00001,0.78378,0.00001
UK,UK281,0.197393,0.00001,0.802577,0.00001,0.00001
UK,UK282,0.198761,0.00001,0.801209,0.00001,0.00001
UK,UK283,0.199172,0.00001,0.800798,0.00001,0.00001
UK,UK284,0.199701,0.00001,0.800269,0.00001,0.00001
UK,UK285,0.201371,0.798599,0.00001,0.00001,0.00001
UK,UK286,0.202311,0.797659,0.00001,0.00001,0.00001
UK,UK287,0.20571,0.00001,0.00001,0.79426,0.00001
UK,UK288,0.206107,0.00001,0.793863,0.00001,0.00001
UK,UK289,0.2065,0.00001,0.79347,0.00001,0.00001
UK,UK290,0.206574,0.032339,0.211654,0.312379,0.237055
UK,UK291,0.207704,0.043283,0.513874,0.00001,0.235129
UK,UK292,0.208948,0.256919,0.00001,0.257531,0.276591
UK,UK293,0.209735,0.786895,0.00001,0.003349,0.00001
UK,UK294,0.211063,0.774736,0.011109,0.00001,0.003082
UK,UK295,0.211326,0.788644,0.00001,0.00001,0.00001
UK,UK296,0.211796,0.00001,0.788174,0.00001,0.00001
UK,UK297,0.211986,0.00001,0.00001,0.787984,0.00001
UK,UK298,0.215033,0.784937,0.00001,0.00001,0.00001
UK,UK299,0.222517,0.026837,0.059105,0.691532,0.00001
UK,UK300,0.223027,0.026169,0.05977,0.691024,0.00001
UK,UK301,0.224869,0.027762,0.057393,0.689966,0.00001
UK,UK302,0.227857,0.748275,0.00001,0.00001,0.023847
UK,UK303,0.229139,0.00001,0.096892,0.456961,0.216999
UK,UK304,0.230088,0.00001,0.769882,0.00001,0.00001
UK,UK305,0.230635,0.034926,0.000019,0.00001,0.734411
UK,UK306,0.230738,0.00001,0.054246,0.714996,0.00001
UK,UK307,0.232031,0.767939,0.00001,0.00001,0.00001
UK,UK308,0.232673,0.030612,0.055268,0.681437,0.00001
UK,UK309,0.23272,0.587808,0.179451,0.00001,0.00001
UK,UK310,0.239781,0.00001,0.746236,0.00001,0.013963
UK,UK311,0.244909,0.00001,0.755061,0.00001,0.00001
UK,UK312,0.25776,0.473709,0.00001,0.219458,0.049063
UK,UK313,0.287074,0.00001,0.585298,0.127608,0.00001
UK,UK314,0.297687,0.00001,0.00001,0.702283,0.00001
UK,UK315,0.338455,0.039264,0.231903,0.390367,0.00001
UK,UK316,0.364056,0.044055,0.249986,0.341894,0.00001
UK,UK317,0.371885,0.168463,0.00001,0.00001,0.459631
UK,UK318,0.377013,0.045027,0.239365,0.337759,0.000836
UK,UK319,0.382947,0.00001,0.00001,0.617023,0.00001
UK,UK320,0.387536,0.00001,0.00001,0.612434,0.00001
UK,UK321,0.419927,0.026237,0.213375,0.340451,0.00001
UK,UK322,0.425677,0.00001,0.142394,0.297676,0.134243
UK,UK323,0.437677,0.562293,0.00001,0.00001,0.00001
UK,UK324,0.438124,0.561846,0.00001,0.00001,0.00001
UK,UK325,0.441445,0.558525,0.00001,0.00001,0.00001
UK,UK326,0.442221,0.557749,0.00001,0.00001,0.00001
UK,UK327,0.443,0.556964,0.000015,0.00001,0.00001
UK,UK328,0.449422,0.00001,0.111175,0.00001,0.439383
UK,UK329,0.453601,0.148322,0.000017,0.00001,0.39805
UK,UK330,0.469067,0.530903,0.00001,0.00001,0.00001
UK,UK331,0.475878,0.156329,0.00001,0.268145,0.099638
UK,UK332,0.518193,0.061077,0.037793,0.27166,0.111277
UK,UK333,0.518839,0.00001,0.258787,0.00001,0.222354
UK,UK334,0.526158,0.191169,0.195352,0.087311,0.00001
UK,UK335,0.529787,0.470183,0.00001,0.00001,0.00001
UK,UK336,0.570851,0.00001,0.199626,0.00001,0.229503
UK,UK337,0.571393,0.00001,0.00001,0.00001,0.428577
UK,UK338,0.57142,0.00001,0.000011,0.00001,0.428549
UK,UK339,0.582971,0.391867,0.00001,0.00001,0.025142
UK,UK340,0.591839,0.090972,0.00001,0.026582,0.290598
UK,UK341,0.600947,0.055257,0.00001,0.030103,0.313683
UK,UK342,0.615817,0.043906,0.147557,0.083726,0.108994
UK,UK343,0.642276,0.357694,0.00001,0.00001,0.00001
UK,UK344,0.644946,0.355024,0.00001,0.00001,0.00001
UK,UK345,0.645154,0.00001,0.354816,0.00001,0.00001
UK,UK346,0.645794,0.010224,0.224697,0.015589,0.103696
UK,UK347,0.651564,0.17753,0.00001,0.002012,0.168884
UK,UK348,0.661731,0.00001,0.338239,0.00001,0.00001
UK,UK349,0.66577,0.01113,0.306304,0.016786,0.00001
UK,UK350,0.668356,0.00001,0.294296,0.00001,0.037328
UK,UK351,0.672909,0.281481,0.00001,0.024361,0.02124
UK,UK352,0.678045,0.321925,0.00001,0.00001,0.00001
UK,UK353,0.683883,0.076503,0.152484,0.082512,0.004617
UK,UK354,0.688849,0.00001,0.311121,0.00001,0.00001
UK,UK355,0.690571,0.00001,0.306495,0.00001,0.002914
UK,UK356,0.693715,0.304318,0.00001,0.00001,0.001947
UK,UK357,0.69628,0.30369,0.00001,0.00001,0.00001
UK,UK358,0.700342,0.071486,0.228153,0.00001,0.00001
UK,UK359,0.700778,0.016955,0.256126,0.00001,0.026131
UK,UK360,0.713384,0.083688,0.202903,0.000016,0.00001
UK,UK361,0.720031,0.00001,0.279939,0.00001,0.00001
UK,UK362,0.731765,0.260753,0.00001,0.007462,0.00001
UK,UK363,0.734763,0.265207,0.00001,0.00001,0.00001
UK,UK364,0.734764,0.265206,0.00001,0.00001,0.00001
UK,UK365,0.736271,0.263699,0.00001,0.00001,0.00001
UK,UK366,0.736285,0.263685,0.00001,0.00001,0.00001
UK,UK367,0.737992,0.006906,0.00001,0.00001,0.255082
UK,UK368,0.754567,0.245403,0.00001,0.00001,0.00001
UK,UK369,0.755705,0.244265,0.00001,0.00001,0.00001
UK,UK370,0.766998,0.232972,0.00001,0.00001,0.00001
UK,UK371,0.768909,0.231061,0.00001,0.00001,0.00001
UK,UK372,0.771122,0.175604,0.00001,0.043681,0.009583
UK,UK373,0.77553,0.22444,0.00001,0.00001,0.00001
UK,UK374,0.778019,0.221951,0.00001,0.00001,0.00001
UK,UK375,0.778953,0.160017,0.00001,0.06101,0.00001
UK,UK376,0.78524,0.21473,0.00001,0.00001,0.00001
UK,UK377,0.786246,0.210496,0.00001,0.003237,0.00001
UK,UK378,0.789932,0.210038,0.00001,0.00001,0.00001
UK,UK379,0.794669,0.205301,0.00001,0.00001,0.00001
UK,UK380,0.800935,0.199035,0.00001,0.00001,0.00001
UK,UK381,0.802346,0.00001,0.197624,0.00001,0.00001
UK,UK382,0.803673,0.196297,0.00001,0.00001,0.00001
UK,UK383,0.805381,0.194589,0.00001,0.00001,0.00001
UK,UK384,0.814276,0.004761,0.180943,0.00001,0.00001
UK,UK385,0.815397,0.184573,0.00001,0.00001,0.00001
UK,UK386,0.815803,0.116778,0.00001,0.027361,0.040047
UK,UK387,0.833839,0.069477,0.096664,0.00001,0.00001
UK,UK388,0.834173,0.165797,0.00001,0.00001,0.00001
UK,UK389,0.843707,0.156263,0.00001,0.00001,0.00001
UK,UK390,0.854284,0.136961,0.00001,0.00001,0.008735
UK,UK391,0.855974,0.143996,0.00001,0.00001,0.00001
UK,UK392,0.858321,0.141649,0.00001,0.00001,0.00001
UK,UK393,0.886032,0.113938,0.00001,0.00001,0.00001
UK,UK394,0.925906,0.069397,0.00001,0.004677,0.00001
UK,UK395,0.926628,0.068783,0.00001,0.004569,0.00001
UK,UK396,0.940769,0.00001,0.054633,0.004578,0.00001
UK,UK397,0.96931,0.011399,0.00001,0.00001,0.019271
UK,UK398,0.980676,0.00001,0.00001,0.00001,0.019294
UK,UK399,0.985497,0.00001,0.00001,0.014473,0.00001
UK,UK400,0.987362,0.00001,0.00001,0.00001,0.012608
UK,UK401,0.992356,0.00001,0.00001,0.00001,0.007614
UK,UK402,0.995848,0.00001,0.00001,0.00001,0.004122
UK,UK403,0.996157,0.00001,0.003813,0.00001,0.00001
UK,UK404,0.999951,0.00001,0.000019,0.00001,0.00001
UK,UK405,0.999951,0.00001,0.000019,0.00001,0.00001
UK,UK406,0.999956,0.00001,0.000014,0.00001,0.00001
UK,UK407,0.999957,0.00001,0.000013,0.00001,0.00001
UK,UK408,0.999957,0.00001,0.000013,0.00001,0.00001
UK,UK409,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK410,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK411,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK412,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK413,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK414,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK415,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK416,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK417,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK418,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK419,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK420,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK421,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK422,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK423,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK424,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK425,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK426,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK427,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK428,0.99996,0.00001,0.00001,0.00001,0.00001
UK,UK429,0.99996,0.00001,0.00001,0.00001,0.00001
Ukraine,Ukraine01,0.00001,0.00001,0.00001,0.99996,0.00001
USA,USA01,0.00001,0.00001,0.00001,0.00001,0.99996
USA,USA02,0.00001,0.00001,0.00001,0.00001,0.99996
USA,USA03,0.00001,0.00001,0.00001,0.00001,0.99996
USA,USA04,0.00001,0.00001,0.00001,0.00001,0.99996
USA,USA05,0.00001,0.00001,0.00001,0.00001,0.99996
USA,USA06,0.00001,0.00001,0.00001,0.00001,0.99996
USA,USA07,0.00001,0.00001,0.00001,0.00001,0.99996
USA,USA08,0.00001,0.00001,0.00001,0.00001,0.99996
USA,USA09,0.00001,0.00001,0.00001,0.99996,0.00001
USA,USA10,0.00001,0.00001,0.00001,0.99996,0.00001
USA,USA11,0.00001,0.008808,0.00001,0.991162,0.00001
USA,USA12,0.00001,0.058063,0.00001,0.00001,0.941907
USA,USA13,0.00001,0.110299,0.00001,0.00001,0.889671
USA,USA14,0.00001,0.156453,0.00001,0.503833,0.339693
USA,USA15,0.00001,0.549356,0.00001,0.00001,0.450614
USA,USA16,0.00001,0.873825,0.00001,0.00001,0.126145
USA,USA17,0.00001,0.907517,0.00001,0.00001,0.092453
USA,USA18,0.00001,0.918551,0.012387,0.069043,0.00001
USA,USA19,0.00001,0.921418,0.015185,0.063378,0.00001
USA,USA20,0.00001,0.923501,0.00001,0.076469,0.00001
USA,USA21,0.00001,0.92357,0.020417,0.055994,0.00001
USA,USA22,0.00001,0.983229,0.00001,0.016741,0.00001
USA,USA23,0.00001,0.990513,0.00001,0.00001,0.009457
USA,USA24,0.00001,0.998403,0.00001,0.001567,0.00001
USA,USA25,0.00001,0.999953,0.000017,0.00001,0.00001
USA,USA26,0.00001,0.99996,0.00001,0.00001,0.00001
USA,USA27,0.00001,0.99996,0.00001,0.00001,0.00001
USA,USA28,0.00001,0.99996,0.00001,0.00001,0.00001
USA,USA29,0.00001,0.99996,0.00001,0.00001,0.00001
USA,USA30,0.00001,0.99996,0.00001,0.00001,0.00001
USA,USA31,0.00001,0.99996,0.00001,0.00001,0.00001
USA,USA32,0.00001,0.99996,0.00001,0.00001,0.00001
USA,USA33,0.00001,0.99996,0.00001,0.00001,0.00001
USA,USA34,0.00001,0.99996,0.00001,0.00001,0.00001
USA,USA35,0.00001,0.99996,0.00001,0.00001,0.00001
USA,USA36,0.00001,0.99996,0.00001,0.00001,0.00001
USA,USA37,0.00001,0.99996,0.00001,0.00001,0.00001
USA,USA38,0.00001,0.99996,0.00001,0.00001,0.00001
USA,USA39,0.00001,0.99996,0.00001,0.00001,0.00001
USA,USA40,0.00001,0.99996,0.00001,0.00001,0.00001
USA,USA41,0.00001,0.99996,0.00001,0.00001,0.00001
USA,USA42,0.00001,0.99996,0.00001,0.00001,0.00001
USA,USA43,0.000013,0.00001,0.00001,0.999957,0.00001
USA,USA44,0.000013,0.999957,0.00001,0.00001,0.00001
USA,USA45,0.000014,0.770673,0.00001,0.229293,0.00001
USA,USA46,0.000018,0.00001,0.770666,0.00001,0.229296
USA,USA47,0.008316,0.991654,0.00001,0.00001,0.00001
USA,USA48,0.009177,0.00001,0.00001,0.990793,0.00001
USA,USA49,0.012475,0.987495,0.00001,0.00001,0.00001
USA,USA50,0.013157,0.154639,0.00001,0.471142,0.361052
USA,USA51,0.015059,0.152785,0.00001,0.468488,0.363658
USA,USA52,0.017141,0.00001,0.00001,0.97065,0.012189
USA,USA53,0.017741,0.028185,0.00001,0.954054,0.00001
USA,USA54,0.024845,0.825847,0.030209,0.119089,0.00001
USA,USA55,0.027067,0.009607,0.002227,0.96109,0.00001
USA,USA56,0.040749,0.959221,0.00001,0.00001,0.00001
USA,USA57,0.041822,0.958148,0.00001,0.00001,0.00001
USA,USA58,0.043395,0.77761,0.00001,0.178975,0.00001
USA,USA59,0.045817,0.954153,0.00001,0.00001,0.00001
USA,USA60,0.046054,0.953916,0.00001,0.00001,0.00001
USA,USA61,0.05111,0.94886,0.00001,0.00001,0.00001
USA,USA62,0.067254,0.046165,0.111066,0.775505,0.00001
USA,USA63,0.067913,0.00001,0.00001,0.932057,0.00001
USA,USA64,0.070475,0.918711,0.00001,0.010794,0.00001
USA,USA65,0.077553,0.922417,0.00001,0.00001,0.00001
USA,USA66,0.079532,0.00001,0.00001,0.00001,0.920438
USA,USA67,0.084829,0.14832,0.00001,0.00001,0.76683
USA,USA68,0.103362,0.876071,0.00001,0.020546,0.00001
USA,USA69,0.104193,0.874996,0.00001,0.020792,0.00001
USA,USA70,0.106902,0.893068,0.00001,0.00001,0.00001
USA,USA71,0.110564,0.889406,0.00001,0.00001,0.00001
USA,USA72,0.117055,0.037544,0.00001,0.845381,0.00001
USA,USA73,0.117216,0.197868,0.00001,0.00001,0.684897
USA,USA74,0.132754,0.867006,0.00001,0.00022,0.00001
USA,USA75,0.155072,0.844898,0.00001,0.00001,0.00001
USA,USA76,0.157151,0.829686,0.00001,0.013143,0.00001
USA,USA77,0.157706,0.842264,0.00001,0.00001,0.00001
USA,USA78,0.161382,0.830872,0.00001,0.00001,0.007726
USA,USA79,0.178665,0.032286,0.00001,0.00001,0.789029
USA,USA80,0.18893,0.81104,0.00001,0.00001,0.00001
USA,USA81,0.189501,0.810469,0.00001,0.00001,0.00001
USA,USA82,0.190347,0.809615,0.00001,0.000019,0.00001
USA,USA83,0.192211,0.00001,0.00001,0.807759,0.00001
USA,USA84,0.199683,0.018372,0.00001,0.781925,0.00001
USA,USA85,0.21303,0.78694,0.00001,0.00001,0.00001
USA,USA86,0.214705,0.785265,0.00001,0.00001,0.00001
USA,USA87,0.218229,0.006561,0.00001,0.00001,0.775189
USA,USA88,0.218669,0.76135,0.00001,0.019961,0.00001
USA,USA89,0.219759,0.780211,0.00001,0.00001,0.00001
USA,USA90,0.236391,0.763579,0.00001,0.00001,0.00001
USA,USA91,0.23807,0.7619,0.00001,0.00001,0.00001
USA,USA92,0.244038,0.241954,0.046875,0.417667,0.049466
USA,USA93,0.250424,0.00001,0.00001,0.00001,0.749546
USA,USA94,0.261022,0.738939,0.00001,0.00002,0.00001
USA,USA95,0.27084,0.72913,0.00001,0.00001,0.00001
USA,USA96,0.272124,0.00001,0.00001,0.00001,0.727846
USA,USA97,0.275022,0.724948,0.00001,0.00001,0.00001
USA,USA98,0.279884,0.720086,0.00001,0.00001,0.00001
USA,USA99,0.284446,0.715523,0.00001,0.00001,0.00001
USA,USA100,0.285358,0.714612,0.00001,0.00001,0.00001
USA,USA101,0.288692,0.711278,0.00001,0.00001,0.00001
USA,USA102,0.295988,0.00001,0.00001,0.00001,0.703982
USA,USA103,0.29615,0.00001,0.00001,0.00001,0.70382
USA,USA104,0.299208,0.700762,0.00001,0.00001,0.00001
USA,USA105,0.303276,0.696694,0.00001,0.00001,0.00001
USA,USA106,0.307021,0.692949,0.00001,0.00001,0.00001
USA,USA107,0.316476,0.00001,0.00001,0.00001,0.683494
USA,USA108,0.325173,0.352152,0.00001,0.322655,0.00001
USA,USA109,0.329222,0.670748,0.00001,0.00001,0.00001
USA,USA110,0.333487,0.343793,0.00001,0.3227,0.00001
USA,USA111,0.334357,0.665613,0.00001,0.00001,0.00001
USA,USA112,0.334838,0.347939,0.00001,0.317203,0.00001
USA,USA113,0.334989,0.34796,0.00001,0.31703,0.00001
USA,USA114,0.33542,0.346444,0.00001,0.318115,0.00001
USA,USA115,0.335555,0.345518,0.00001,0.318907,0.00001
USA,USA116,0.338668,0.341313,0.00001,0.319999,0.00001
USA,USA117,0.342967,0.339319,0.00001,0.317694,0.00001
USA,USA118,0.343195,0.656775,0.00001,0.00001,0.00001
USA,USA119,0.34583,0.65414,0.00001,0.00001,0.00001
USA,USA120,0.34924,0.00001,0.010774,0.00001,0.639967
USA,USA121,0.359326,0.640644,0.00001,0.00001,0.00001
USA,USA122,0.37188,0.62809,0.00001,0.00001,0.00001
USA,USA123,0.372012,0.627958,0.00001,0.00001,0.00001
USA,USA124,0.372328,0.581245,0.00001,0.00001,0.046407
USA,USA125,0.373827,0.626143,0.00001,0.00001,0.00001
USA,USA126,0.374107,0.625863,0.00001,0.00001,0.00001
USA,USA127,0.374759,0.625211,0.00001,0.00001,0.00001
USA,USA128,0.377181,0.622789,0.00001,0.00001,0.00001
USA,USA129,0.379434,0.620536,0.00001,0.00001,0.00001
USA,USA130,0.383907,0.616063,0.00001,0.00001,0.00001
USA,USA131,0.394301,0.605669,0.00001,0.00001,0.00001
USA,USA132,0.401419,0.598551,0.00001,0.00001,0.00001
USA,USA133,0.411214,0.588756,0.00001,0.00001,0.00001
USA,USA134,0.417817,0.041641,0.00001,0.00001,0.540522
USA,USA135,0.424161,0.00001,0.054647,0.017522,0.50366
USA,USA136,0.427431,0.215385,0.00001,0.00001,0.357164
USA,USA137,0.435184,0.564786,0.00001,0.00001,0.00001
USA,USA138,0.438443,0.00001,0.00001,0.00001,0.561527
USA,USA139,0.442707,0.557263,0.00001,0.00001,0.00001
USA,USA140,0.44434,0.55563,0.00001,0.00001,0.00001
USA,USA141,0.445273,0.554693,0.00001,0.000014,0.00001
USA,USA142,0.45147,0.548494,0.000016,0.00001,0.00001
USA,USA143,0.45351,0.283582,0.00001,0.00001,0.262889
USA,USA144,0.469531,0.530439,0.00001,0.00001,0.00001
USA,USA145,0.474103,0.525867,0.00001,0.00001,0.00001
USA,USA146,0.474759,0.525211,0.00001,0.00001,0.00001
USA,USA147,0.476794,0.523176,0.00001,0.00001,0.00001
USA,USA148,0.483089,0.516881,0.00001,0.00001,0.00001
USA,USA149,0.483861,0.516109,0.00001,0.00001,0.00001
USA,USA150,0.484554,0.515416,0.00001,0.00001,0.00001
USA,USA151,0.488565,0.511405,0.00001,0.00001,0.00001
USA,USA152,0.489713,0.510257,0.00001,0.00001,0.00001
USA,USA153,0.49649,0.503475,0.000015,0.00001,0.00001
USA,USA154,0.500566,0.499401,0.00001,0.000012,0.00001
USA,USA155,0.502643,0.497327,0.00001,0.00001,0.00001
USA,USA156,0.508691,0.491279,0.00001,0.00001,0.00001
USA,USA157,0.521305,0.462394,0.00001,0.016281,0.00001
USA,USA158,0.529109,0.449693,0.014106,0.00001,0.007082
USA,USA159,0.54016,0.45981,0.00001,0.00001,0.00001
USA,USA160,0.544019,0.144086,0.311875,0.00001,0.00001
USA,USA161,0.555065,0.139677,0.252639,0.00001,0.052609
USA,USA162,0.555792,0.00001,0.00001,0.00001,0.444178
USA,USA163,0.560271,0.439699,0.00001,0.00001,0.00001
USA,USA164,0.564943,0.00001,0.00001,0.00001,0.435027
USA,USA165,0.578958,0.421012,0.00001,0.00001,0.00001
USA,USA166,0.580068,0.227885,0.000011,0.00001,0.192027
USA,USA167,0.5847,0.41527,0.00001,0.00001,0.00001
USA,USA168,0.589934,0.181182,0.00001,0.00001,0.228864
USA,USA169,0.596416,0.151066,0.00001,0.00001,0.252498
USA,USA170,0.614187,0.356304,0.00001,0.029488,0.00001
USA,USA171,0.617454,0.00001,0.00001,0.00001,0.382516
USA,USA172,0.61964,0.208594,0.00001,0.00001,0.171746
USA,USA173,0.624058,0.00001,0.00001,0.375912,0.00001
USA,USA174,0.625872,0.233998,0.00001,0.006397,0.133723
USA,USA175,0.629996,0.309127,0.00001,0.00001,0.060856
USA,USA176,0.631186,0.368784,0.00001,0.00001,0.00001
USA,USA177,0.635824,0.364146,0.00001,0.00001,0.00001
USA,USA178,0.636799,0.363161,0.00001,0.00002,0.00001
USA,USA179,0.640426,0.000016,0.00001,0.359538,0.00001
USA,USA180,0.642678,0.357292,0.00001,0.00001,0.00001
USA,USA181,0.646009,0.353961,0.00001,0.00001,0.00001
USA,USA182,0.647469,0.352501,0.00001,0.00001,0.00001
USA,USA183,0.649981,0.349989,0.00001,0.00001,0.00001
USA,USA184,0.650835,0.347185,0.00001,0.00196,0.00001
USA,USA185,0.651768,0.348202,0.00001,0.00001,0.00001
USA,USA186,0.655793,0.286649,0.00001,0.057538,0.00001
USA,USA187,0.660653,0.339317,0.00001,0.00001,0.00001
USA,USA188,0.662644,0.00001,0.26347,0.00001,0.073866
USA,USA189,0.663644,0.336326,0.00001,0.00001,0.00001
USA,USA190,0.668712,0.316714,0.00001,0.012052,0.002512
USA,USA191,0.668815,0.026515,0.00001,0.003049,0.301612
USA,USA192,0.669865,0.330105,0.00001,0.00001,0.00001
USA,USA193,0.671458,0.034141,0.00001,0.00001,0.294381
USA,USA194,0.672568,0.327402,0.00001,0.00001,0.00001
USA,USA195,0.67586,0.32411,0.00001,0.00001,0.00001
USA,USA196,0.675924,0.324046,0.00001,0.00001,0.00001
USA,USA197,0.677018,0.322952,0.00001,0.00001,0.00001
USA,USA198,0.678105,0.321865,0.00001,0.00001,0.00001
USA,USA199,0.680904,0.319066,0.00001,0.00001,0.00001
USA,USA200,0.700426,0.299544,0.00001,0.00001,0.00001
USA,USA201,0.701223,0.298747,0.00001,0.00001,0.00001
USA,USA202,0.702131,0.297839,0.00001,0.00001,0.00001
USA,USA203,0.703469,0.296501,0.00001,0.00001,0.00001
USA,USA204,0.704077,0.295893,0.00001,0.00001,0.00001
USA,USA205,0.70502,0.29495,0.00001,0.00001,0.00001
USA,USA206,0.70674,0.29323,0.00001,0.00001,0.00001
USA,USA207,0.709505,0.290465,0.00001,0.00001,0.00001
USA,USA208,0.719538,0.183739,0.096702,0.00001,0.00001
USA,USA209,0.719772,0.280198,0.00001,0.00001,0.00001
USA,USA210,0.725096,0.274874,0.00001,0.00001,0.00001
USA,USA211,0.725267,0.200082,0.005369,0.043578,0.025704
USA,USA212,0.727183,0.00001,0.272787,0.000011,0.00001
USA,USA213,0.728829,0.271141,0.00001,0.00001,0.00001
USA,USA214,0.733022,0.00001,0.00001,0.00001,0.266948
USA,USA215,0.733181,0.208969,0.00001,0.00001,0.057831
USA,USA216,0.734518,0.00001,0.00001,0.00001,0.265452
USA,USA217,0.764616,0.235354,0.00001,0.00001,0.00001
USA,USA218,0.764668,0.235302,0.00001,0.00001,0.00001
USA,USA219,0.766162,0.233808,0.00001,0.00001,0.00001
USA,USA220,0.775391,0.224579,0.00001,0.00001,0.00001
USA,USA221,0.775632,0.224338,0.00001,0.00001,0.00001
USA,USA222,0.786812,0.198678,0.000011,0.014488,0.00001
USA,USA223,0.787049,0.212921,0.00001,0.00001,0.00001
USA,USA224,0.787822,0.212148,0.00001,0.00001,0.00001
USA,USA225,0.791231,0.198436,0.00001,0.010313,0.00001
USA,USA226,0.794809,0.205161,0.00001,0.00001,0.00001
USA,USA227,0.797773,0.187278,0.000011,0.014928,0.00001
USA,USA228,0.800222,0.124747,0.00001,0.00001,0.075011
USA,USA229,0.800491,0.199478,0.00001,0.000011,0.00001
USA,USA230,0.803698,0.196272,0.00001,0.00001,0.00001
USA,USA231,0.804582,0.195388,0.00001,0.00001,0.00001
USA,USA232,0.807017,0.031638,0.00001,0.00001,0.161325
USA,USA233,0.818813,0.181157,0.00001,0.00001,0.00001
USA,USA234,0.819869,0.180101,0.00001,0.00001,0.00001
USA,USA235,0.826124,0.121144,0.00001,0.00001,0.052712
USA,USA236,0.829907,0.170063,0.00001,0.00001,0.00001
USA,USA237,0.837359,0.00001,0.00001,0.00001,0.162611
USA,USA238,0.844257,0.155709,0.000015,0.00001,0.00001
USA,USA239,0.844542,0.155428,0.00001,0.00001,0.00001
USA,USA240,0.84639,0.153572,0.000017,0.00001,0.00001
USA,USA241,0.848058,0.00001,0.00001,0.00001,0.151912
USA,USA242,0.849839,0.00001,0.00001,0.00001,0.150131
USA,USA243,0.851182,0.00001,0.00001,0.00001,0.148788
USA,USA244,0.851885,0.148085,0.00001,0.00001,0.00001
USA,USA245,0.858943,0.141018,0.00001,0.000019,0.00001
USA,USA246,0.859453,0.12834,0.00001,0.012187,0.00001
USA,USA247,0.860133,0.122545,0.00001,0.017301,0.00001
