ID,DAPC,SNPs,INDELs,msh6.SNPs
E539,Cluster4,57682,5841,64
C269,Cluster5,50073,5841,66
C518,Cluster5,51001,5842,61
E492,Cluster5,52103,5843,66
U5,Cluster4,48831,5845,65
C561,Cluster4,46324,5846,61
E601,Cluster4,60143,5849,64
C136,Cluster4,53222,5850,62
C483,Cluster4,55716,5850,65
C135,Cluster4,53225,5852,62
C547,Cluster4,46586,5859,61
E607,Cluster4,59288,5861,66
C151,Cluster4,59437,5861,67
C128,Cluster4,53132,5862,62
E565,Cluster4,56270,5862,61
C305,Cluster4,49073,5863,65
E209,Cluster4,49568,5863,65
E280,Cluster4,45886,5864,66
C336,Cluster4,37288,5867,62
E403,Cluster3,35750,5872,53
C378,Cluster4,47275,5872,64
C254,Cluster4,7567,5873,66
C148,Cluster1,32843,5874,0
E166,Cluster4,45363,5874,66
C455,Cluster4,46012,5878,63
E538,Cluster4,56105,5879,63
C463,Cluster4,46570,5880,66
C43,Cluster5,58610,5884,66
E547,Cluster4,59117,5886,66
E80,Cluster4,51650,5886,62
C3,Cluster4,55284,5889,62
C569,Cluster4,48029,5889,65
C190,Cluster4,48973,5893,68
C371,Cluster5,50558,5893,65
C517,Cluster5,50316,5896,66
C42,Cluster5,58663,5900,66
E104,Cluster4,54329,5902,66
C573,Cluster4,2163,5906,65
C500,Cluster4,43620,5907,61
E542,Cluster4,61940,5908,66
C109,Cluster4,59588,5910,66
C486,Cluster4,47928,5910,65
C572,Cluster4,46753,5912,61
E535,Cluster4,60241,5913,65
C272,Cluster5,48530,5913,65
C18,Cluster4,53038,5915,65
C77,Cluster4,58645,5917,66
C164,Cluster4,56883,5917,65
C189,Cluster4,7670,5919,68
E141,Cluster4,49994,5920,61
C161,Cluster5,45088,5925,66
C259,Cluster5,48490,5926,66
E94,Cluster4,50688,5926,67
E379,Cluster4,48946,5932,65
E544,Cluster4,63534,5935,67
E505,Cluster4,49603,5940,64
E499,Cluster5,51597,5941,66
C436,Cluster5,52880,5941,66
E599,Cluster4,58407,5942,62
E540,Cluster5,61476,5945,66
E340,Cluster5,47889,5951,66
C260,Cluster5,48551,5952,66
E278,Cluster4,45878,5952,66
C490,Cluster4,47512,5954,66
C458,Cluster4,48284,5961,65
C604,Cluster4,46908,5964,61
C362,Cluster5,48756,5971,66
C162,Cluster4,59863,5975,66
C210,Cluster4,28327,5976,64
C180,Cluster5,65312,5981,66
C452,Cluster5,47653,5981,66
E153,Cluster4,62623,5982,65
C211,Cluster4,51013,5984,66
E580,Cluster5,60375,5985,65
C522,Cluster4,48257,5985,65
C579,Cluster4,45996,5986,66
E612,Cluster4,58648,5988,62
E372,Cluster5,52686,5991,66
E76,Cluster4,56643,5995,62
C588,Cluster4,48286,5996,65
E377,Cluster5,51229,5998,66
E137,Cluster4,55354,5999,61
C496,Cluster5,52349,6012,66
C501,Cluster4,46978,6016,66
C146,Cluster4,59880,6018,64
C45,Cluster4,61535,6022,65
C46,Cluster4,61465,6022,65
E266,Cluster5,52475,6024,66
C111,Cluster5,59399,6024,65
E331,Cluster4,31726,6028,68
E365,Cluster5,51874,6030,66
C384,Cluster5,53761,6035,65
C172,Cluster4,55076,6041,66
E92,Cluster4,58795,6043,66
C424,Cluster5,53441,6044,67
C498,Cluster5,50886,6045,66
C457,Cluster4,46793,6047,65
E338,Cluster5,49097,6048,67
C44,Cluster1,30696,6050,0
E165,Cluster4,46052,6050,64
E268,Cluster5,52294,6051,65
E286,Cluster5,51393,6059,67
C388,Cluster1,16880,6060,0
E73,Cluster4,57960,6064,62
C541,Cluster4,47382,6065,65
C504,Cluster4,48174,6066,66
C73,Cluster5,60552,6071,66
C74,Cluster5,56277,6073,66
C50,Cluster1,30871,6075,0
C291,Cluster4,46632,6078,61
